student_id,lms_logins_weekly,login_trend_slope,avg_assignment_delay_days,attendance_percent,attendance_trend,sentiment_score,study_session_variability,burnout_risk_level,dropout_probability
1008,15,0.39,1.06,79.14,-1.483,-0.208,0.415,Low,0.267
1009,16,-0.587,4.96,79.24,3.378,0.229,0.107,Medium,0.25
1010,10,-0.113,4.81,80.8,-1.171,0.243,0.233,Low,0.197
1011,17,1.279,0.06,100.0,-2.195,0.331,0.687,Low,0.118
1012,13,0.587,2.35,83.71,1.016,1.0,0.255,Low,0.088
1013,20,0.007,1.15,59.64,-1.321,0.134,0.236,Low,0.245
1014,9,-0.19,1.34,74.57,-1.559,0.702,0.361,Low,0.172
1015,19,0.061,4.46,60.68,1.019,0.315,0.222,Low,0.242
1016,13,-0.409,0.93,76.7,-2.081,0.081,0.332,Medium,0.246
1017,9,-1.684,7.16,60.13,-2.915,0.14,0.312,High,0.478
1018,10,1.634,0.5,71.28,3.452,0.171,0.312,Low,0.204
1019,11,0.124,2.72,64.79,1.159,0.34,0.141,Low,0.209
1020,14,0.319,2.79,83.84,-0.528,-0.28,0.381,Medium,0.28
1021,14,-0.046,0.73,80.01,-0.007,-0.533,0.174,Medium,0.345
1022,10,-0.588,0.98,83.03,1.012,0.527,0.271,Low,0.198
1023,12,-0.149,4.5,78.95,1.947,0.649,0.17,Low,0.162
1024,21,-1.28,3.59,66.06,-1.512,0.573,0.3,Medium,0.348
1025,19,1.822,1.0,85.14,0.732,0.277,0.323,Low,0.151
1026,14,-0.988,1.91,99.22,-1.013,0.584,0.274,Medium,0.189
1027,12,-0.826,0.16,84.09,-0.378,0.557,0.201,Low,0.209
1028,12,-0.352,0.59,75.74,0.321,0.594,0.167,Low,0.178
1029,14,1.03,1.66,65.72,-0.013,-0.23,0.018,Low,0.292
1030,8,0.012,0.22,70.92,1.471,-0.348,0.358,Low,0.327
1031,11,-0.989,4.63,84.53,0.974,0.006,0.167,Medium,0.302
1032,5,1.003,3.16,90.73,-3.016,0.191,0.452,Low,0.163
1033,14,0.585,7.19,82.61,-2.716,0.079,0.381,Low,0.219
1034,15,0.431,2.96,88.0,-0.739,-0.738,0.21,Medium,0.389
1035,10,0.573,7.05,87.08,3.657,1.0,0.13,Low,0.095
1036,18,1.915,2.02,85.07,-1.703,0.063,0.198,Low,0.168
1037,7,1.748,2.29,73.42,-0.416,0.286,0.591,Low,0.218
1038,6,-0.549,9.43,81.74,-1.073,0.822,0.408,Low,0.229
1039,13,1.299,2.57,71.52,-1.108,-0.972,0.225,Medium,0.513
1040,16,0.307,0.08,80.17,0.356,-0.056,0.129,Low,0.191
1041,19,0.399,3.22,83.31,2.802,0.006,0.298,Low,0.194
1042,10,-1.354,5.9,96.79,0.912,0.032,0.229,Medium,0.313
1043,16,-0.136,3.97,66.9,-1.607,0.113,0.439,Low,0.27
1044,12,-0.65,2.19,84.82,5.506,0.924,0.091,Low,0.154
1045,11,0.662,2.78,94.81,0.157,0.537,0.302,Low,0.102
1046,16,0.857,10.0,87.59,-1.154,0.679,0.587,Low,0.176
1047,15,-1.66,0.24,88.33,2.824,0.224,0.245,Medium,0.327
1048,6,-0.018,2.75,85.88,-0.938,-0.5,0.082,Low,0.317
1049,18,0.897,0.83,92.98,3.326,-0.84,0.239,Medium,0.392
1050,18,-0.149,2.55,69.13,-1.741,-0.565,0.221,Medium,0.418
1051,9,0.583,2.34,66.14,2.86,0.38,0.179,Low,0.202
1052,14,0.281,0.42,79.94,0.402,0.216,0.271,Low,0.167
1053,14,0.273,0.58,58.39,2.582,0.095,0.307,Low,0.255
1054,13,-0.217,2.43,92.31,3.804,0.016,0.451,Low,0.195
1055,10,-0.973,0.34,92.21,-2.265,1.0,0.346,Low,0.168
1056,9,-0.897,0.77,75.67,2.552,-0.211,0.395,Medium,0.38
1057,12,0.567,4.51,76.29,-2.818,0.664,0.364,Low,0.167
1058,17,0.016,0.99,79.28,-2.094,0.201,0.099,Low,0.161
1059,14,-0.111,1.67,80.52,-1.607,0.17,0.286,Low,0.191
1060,11,-0.339,7.08,81.27,1.007,0.788,0.358,Low,0.192
1061,15,-0.244,0.64,85.58,0.066,0.931,0.409,Low,0.119
1062,1,0.838,1.23,78.27,-0.334,0.08,0.592,Low,0.215
1063,17,-0.268,2.33,89.43,0.292,0.6,0.216,Low,0.136
1064,5,-1.073,3.52,84.46,1.183,0.382,0.209,Medium,0.273
1065,11,0.595,5.8,73.93,1.336,0.204,0.309,Low,0.222
1066,8,-0.164,6.18,93.35,2.188,0.302,0.197,Low,0.16
1067,7,0.025,3.75,66.42,3.64,-0.144,0.133,Low,0.285
1068,17,1.286,0.65,79.08,-0.043,0.047,0.148,Low,0.178
1069,10,-0.016,0.06,89.67,-1.042,-0.09,0.209,Low,0.176
1070,13,0.231,1.21,72.77,1.227,0.651,0.062,Low,0.138
1071,12,-0.943,0.38,83.1,-2.289,0.152,0.6,Medium,0.297
1072,14,-0.176,3.1,85.43,-1.357,-0.449,0.234,Medium,0.335
1073,12,0.488,2.71,71.39,1.999,-0.162,0.232,Low,0.275
1074,7,-1.244,0.11,79.28,-0.248,-1.0,0.318,High,0.632
1075,16,0.161,4.53,78.43,-2.416,-0.047,0.051,Low,0.214
1076,10,0.081,0.72,74.48,-2.98,0.219,0.549,Low,0.208
1077,6,0.033,1.42,100.0,0.097,0.132,0.337,Low,0.118
1078,10,0.83,2.76,72.37,2.284,1.0,0.276,Low,0.131
1079,18,0.268,1.4,90.05,2.257,0.487,0.361,Low,0.119
1080,15,1.182,1.46,76.07,0.222,0.465,0.274,Low,0.162
1081,11,-0.795,0.17,69.13,4.018,-0.622,0.29,Medium,0.501
1082,11,0.109,1.28,81.03,-0.21,0.018,0.278,Low,0.188
1083,11,0.068,3.62,86.49,-0.277,-0.043,0.075,Low,0.182
1084,20,-0.855,6.17,89.21,-5.135,-0.193,0.232,Medium,0.343
1085,14,0.765,1.33,95.62,-0.895,-0.2,0.332,Low,0.204
1086,14,1.86,1.38,100.0,1.704,-0.704,0.437,Medium,0.347
1087,16,-0.014,3.03,82.51,3.128,-0.438,0.447,Medium,0.339
1088,13,0.404,7.15,73.37,-1.66,0.637,0.15,Low,0.178
1089,11,0.068,0.78,84.53,0.925,0.129,0.254,Low,0.161
1090,11,-0.571,1.45,77.34,2.094,-0.053,0.028,Medium,0.266
1091,12,-1.457,3.97,89.26,0.022,0.197,0.37,Medium,0.334
1092,12,-0.565,2.35,67.03,-4.567,0.784,0.455,Low,0.247
1093,15,-1.114,0.29,100.0,0.495,0.202,0.018,Medium,0.209
1094,12,1.363,2.47,88.56,1.523,0.47,0.227,Low,0.122
1095,15,-0.092,0.52,63.16,-1.895,-0.223,0.009,Low,0.302
1096,12,-0.277,1.78,72.91,-0.508,-0.109,0.477,Medium,0.3
1097,12,0.711,1.88,88.16,-2.311,0.377,0.057,Low,0.115
1098,4,-0.897,5.22,91.76,-5.14,1.0,0.73,Medium,0.218
1099,16,-0.613,1.55,67.28,2.054,0.915,0.182,Low,0.213
1100,13,0.054,0.82,87.13,-0.007,0.491,0.381,Low,0.127
1101,16,0.823,0.66,60.53,3.195,0.276,0.081,Low,0.214
1102,1,0.401,5.18,79.11,1.715,0.901,0.239,Low,0.129
1103,20,0.199,0.47,91.12,-0.708,0.597,0.192,Low,0.086
1104,11,0.062,1.39,74.48,-0.166,-0.947,0.382,Medium,0.501
1105,16,0.32,0.52,64.93,1.132,-0.327,0.189,Low,0.33
1106,8,0.161,3.71,81.46,1.934,0.369,0.253,Low,0.165
1107,14,-0.824,1.61,73.95,0.645,-0.693,0.137,Medium,0.505
1108,8,0.037,1.08,86.3,2.211,-0.249,0.274,Low,0.244
1109,10,-0.859,1.12,71.15,-0.593,-0.15,0.126,Medium,0.354
1110,20,0.065,4.78,72.27,-1.994,0.072,0.129,Low,0.221
1111,11,-0.385,2.02,59.79,-0.13,0.056,0.681,Medium,0.336
1112,13,2.032,3.16,81.7,0.41,0.055,0.221,Low,0.188
1113,15,-0.032,5.68,78.39,-2.403,0.613,0.317,Low,0.172
1114,14,-1.123,5.8,68.12,-2.673,0.067,0.088,Medium,0.368
1115,13,-0.107,1.0,81.94,0.895,0.008,0.149,Low,0.186
1116,13,0.415,7.62,90.27,-0.813,-0.475,0.375,Medium,0.343
1117,22,1.339,0.06,77.84,-0.332,0.712,0.134,Low,0.113
1118,12,-0.472,1.18,82.68,-0.719,-0.136,0.155,Medium,0.269
1119,13,-1.266,5.65,82.73,3.041,-0.344,0.284,High,0.458
1120,16,0.653,0.8,67.96,2.524,0.307,0.2,Low,0.195
1121,16,-1.104,0.8,100.0,-2.475,-0.183,0.213,Medium,0.3
1122,17,-0.349,0.9,75.29,-1.066,-0.063,0.729,Medium,0.301
1123,15,-0.206,2.37,86.56,1.7,0.329,0.191,Low,0.163
1124,7,-0.056,1.44,87.69,1.204,0.037,0.331,Low,0.175
1125,19,0.551,3.24,78.6,-0.083,1.0,0.545,Low,0.133
1126,7,-0.547,5.63,86.07,-2.275,0.163,0.27,Medium,0.245
1127,13,-0.219,2.8,82.46,-1.365,0.509,0.091,Low,0.155
1128,9,-0.011,0.57,65.82,-1.034,-0.771,0.297,Medium,0.468
1129,12,0.12,6.75,76.68,0.554,-0.23,0.065,Low,0.288
1130,13,0.078,0.77,73.87,3.407,-0.343,0.009,Low,0.292
1131,13,0.349,0.41,75.38,-1.374,-0.277,0.312,Low,0.288
1132,14,0.675,0.24,66.96,-2.052,0.408,0.144,Low,0.181
1133,18,0.314,2.07,91.26,-0.217,0.718,0.541,Low,0.111
1134,14,0.363,0.3,96.02,2.063,0.372,0.674,Low,0.128
1135,11,-1.266,0.37,89.78,-2.894,0.087,0.654,Medium,0.322
1136,16,0.04,0.89,92.71,2.907,-0.115,0.357,Low,0.188
1137,17,0.384,0.83,76.55,-0.344,0.757,0.482,Low,0.145
1138,7,0.583,2.32,73.64,-1.469,1.0,0.086,Low,0.109
1139,14,-0.554,4.24,72.21,-3.2,0.268,0.089,Medium,0.26
1140,15,-0.527,3.58,86.44,1.413,0.67,0.288,Low,0.182
1141,11,-0.459,0.76,82.27,-0.342,0.372,0.187,Low,0.193
1142,18,0.429,0.7,79.23,0.341,0.578,0.313,Low,0.139
1143,11,0.827,8.44,92.95,-1.802,-0.382,0.298,Medium,0.305
1144,13,-0.326,0.02,84.05,-0.638,-0.044,0.558,Medium,0.244
1145,11,0.726,5.29,71.61,-0.973,0.398,0.295,Low,0.208
1146,12,0.099,0.56,73.19,-0.201,0.806,0.064,Low,0.118
1147,8,-0.099,7.36,86.82,-1.339,-0.209,0.413,Medium,0.289
1148,6,-0.169,1.05,90.42,-3.068,-0.817,0.125,Medium,0.406
1149,18,0.597,1.45,85.52,5.457,-0.049,0.42,Low,0.201
1150,9,0.26,3.07,98.97,-2.727,0.705,0.353,Low,0.077
1151,8,1.821,2.21,96.35,0.363,-0.592,0.438,Medium,0.331
1152,3,-0.682,0.96,84.41,-3.544,-0.388,0.387,Medium,0.379
1153,9,0.414,2.02,71.61,-3.994,0.278,0.557,Low,0.22
1154,7,-0.423,3.28,66.9,0.196,0.142,0.067,Low,0.268
1155,19,-0.695,0.11,76.13,0.349,0.497,0.151,Low,0.222
1156,16,-0.009,0.03,87.53,2.523,-0.414,0.465,Medium,0.299
1157,9,0.11,1.53,98.27,0.799,0.038,0.129,Low,0.117
1158,21,2.335,0.35,84.17,-0.3,0.798,0.112,Low,0.084
1159,16,-0.147,2.73,91.69,-1.899,-0.396,0.349,Medium,0.302
1160,11,-0.904,0.6,77.55,2.998,0.938,0.316,Low,0.214
1161,2,0.218,1.42,86.23,1.858,-0.334,0.463,Medium,0.286
1162,21,-1.66,0.55,88.23,-2.493,0.625,0.122,Medium,0.281
1163,6,-0.074,1.99,60.2,0.076,0.014,0.446,Low,0.284
1164,5,0.013,0.31,75.87,0.288,-0.372,0.426,Medium,0.323
1165,16,0.636,0.06,89.5,-0.691,-0.048,0.209,Low,0.163
1166,22,0.779,0.13,82.74,1.544,0.472,0.124,Low,0.12
1167,18,-0.403,7.71,68.03,1.663,0.197,0.566,Medium,0.321
1168,14,-0.12,0.38,55.7,-0.381,0.759,0.164,Low,0.202
1169,14,-0.613,3.08,76.34,-0.562,0.918,0.283,Low,0.199
1170,15,-0.902,0.18,79.28,2.998,-0.392,0.105,Medium,0.396
1171,15,0.248,0.29,71.16,1.866,-0.428,0.26,Low,0.343
1172,13,-1.019,1.78,81.43,0.145,-0.452,0.279,Medium,0.443
1173,12,-0.332,1.56,85.06,-3.258,-0.25,0.177,Medium,0.282
1174,12,-0.796,7.57,86.71,0.688,0.752,0.324,Medium,0.23
1175,9,0.44,7.24,56.44,1.396,0.48,0.22,Low,0.257
1176,11,1.441,3.78,66.86,-5.509,-0.073,0.313,Low,0.276
1177,5,-1.041,2.3,76.95,0.504,0.194,0.58,Medium,0.334
1178,12,-1.482,1.52,85.72,-0.833,0.902,0.095,Medium,0.245
1179,8,-0.1,1.1,84.89,-0.442,1.0,0.266,Low,0.09
1180,8,0.013,7.35,84.72,-1.815,0.33,0.171,Low,0.172
1181,13,0.175,2.31,76.17,-0.296,-1.0,0.371,Medium,0.516
1182,18,-0.357,2.16,76.72,2.784,0.349,0.198,Low,0.211
1183,16,-0.161,0.66,72.72,-0.893,0.667,0.112,Low,0.156
1184,6,0.294,0.12,87.68,1.931,0.312,0.109,Low,0.117
1185,8,0.832,7.26,70.8,-1.613,0.563,0.168,Low,0.196
1186,16,-1.564,0.94,88.5,1.518,0.379,0.195,Medium,0.3
1187,8,-0.295,1.46,82.08,0.003,-0.417,0.224,Medium,0.341
1188,11,0.171,0.3,79.55,0.704,-0.243,0.114,Low,0.248
1189,14,-0.734,4.53,73.43,0.014,0.039,0.295,Medium,0.317
1190,8,1.385,0.07,66.44,1.283,0.733,0.535,Low,0.181
1191,12,-0.508,4.49,73.52,-5.135,-0.183,0.415,Medium,0.357
1192,7,-0.033,0.38,76.7,-2.84,0.428,0.454,Low,0.175
1193,10,0.445,5.44,56.31,0.834,0.352,0.785,Low,0.302
1194,13,-0.473,3.27,78.03,-4.087,0.993,0.476,Low,0.185
1195,6,-1.477,0.45,89.24,-1.061,0.179,0.455,Medium,0.324
1196,14,-0.343,2.09,85.67,-0.109,-0.677,0.567,Medium,0.441
1197,12,0.824,0.94,75.04,-1.656,0.523,0.045,Low,0.139
1198,14,-0.27,0.49,80.47,-1.383,1.0,0.096,Low,0.108
1199,13,-0.677,4.9,74.44,0.543,0.556,0.167,Low,0.249
1200,17,0.741,1.29,81.49,2.019,-0.194,0.044,Low,0.227
1201,13,-0.265,1.27,95.4,-1.917,-0.341,0.236,Medium,0.269
1202,10,-0.408,0.47,89.68,-1.15,-0.276,0.157,Medium,0.275
1203,12,0.12,1.21,85.21,-1.463,1.0,0.302,Low,0.08
1204,14,0.617,5.13,75.07,-4.843,0.036,0.353,Low,0.234
1205,12,1.905,1.13,87.5,0.283,-0.131,0.112,Low,0.193
1206,12,0.662,7.57,63.13,1.869,0.121,0.395,Low,0.284
1207,9,0.928,7.31,77.48,2.033,0.042,0.467,Medium,0.247
1208,9,-0.405,0.39,85.84,-1.742,0.984,0.299,Low,0.122
1209,6,-0.821,0.49,87.4,-2.503,-0.307,0.539,Medium,0.37
1210,19,0.05,4.96,86.7,0.043,0.79,0.149,Low,0.105
1211,7,0.086,1.25,82.95,1.659,0.261,0.25,Low,0.156
1212,9,-0.863,0.01,78.04,0.31,0.804,0.23,Low,0.211
1213,9,-0.14,0.8,85.38,0.579,0.991,0.529,Low,0.112
1214,16,0.319,2.28,70.47,2.284,0.242,0.13,Low,0.196
1215,11,0.288,4.01,71.55,-1.478,0.042,0.372,Low,0.241
1216,17,0.403,0.36,80.62,-0.44,0.233,0.585,Low,0.187
1217,9,0.233,0.29,81.73,3.269,0.153,0.786,Low,0.206
1218,13,-0.406,6.38,61.74,-0.394,-0.628,0.208,Medium,0.512
1219,9,-0.411,3.48,84.55,-2.535,0.976,0.344,Low,0.149
1220,21,-0.959,2.23,87.73,-1.339,0.323,0.388,Medium,0.261
1221,7,1.428,3.67,79.23,-1.876,-0.382,0.757,Medium,0.36
1222,13,0.011,1.4,100.0,0.714,-0.834,0.361,Medium,0.38
1223,15,-0.18,3.55,73.17,-1.792,-0.964,0.341,Medium,0.541
1224,14,-0.743,1.16,76.39,0.542,0.585,0.324,Low,0.238
1225,11,2.349,0.7,76.05,-1.472,-0.109,0.051,Low,0.218
1226,11,-0.859,3.26,79.24,-4.247,-0.027,0.432,Medium,0.326
1227,12,-0.343,1.36,76.71,0.613,0.444,0.325,Low,0.205
1228,11,0.333,9.96,65.93,0.297,-0.058,0.09,Medium,0.294
1229,16,0.48,1.07,74.53,1.036,0.473,0.566,Low,0.187
1230,21,0.766,6.37,79.02,-1.346,0.248,0.045,Low,0.184
1231,10,1.446,6.76,92.29,-1.559,0.158,0.189,Low,0.161
1232,7,0.405,0.69,100.0,0.803,-0.586,0.426,Medium,0.307
1233,12,-0.845,4.0,93.35,3.038,-0.21,0.151,Medium,0.314
1234,22,-0.206,1.42,72.25,0.022,0.501,0.199,Low,0.19
1235,9,0.246,6.24,73.04,0.849,-0.141,0.402,Medium,0.297
1236,19,1.655,1.5,78.41,-0.643,0.803,0.252,Low,0.12
1237,19,-1.118,3.41,97.85,-3.087,1.0,0.453,Medium,0.191
1238,10,0.962,1.57,78.35,1.935,0.528,0.312,Low,0.152
1239,14,0.144,0.65,66.72,1.817,0.946,0.203,Low,0.137
1240,19,0.67,0.56,74.99,1.422,0.56,0.047,Low,0.134
1241,10,-0.082,1.39,87.57,-0.364,-0.067,0.046,Low,0.179
1242,11,-0.674,3.52,86.9,1.194,0.3,0.19,Medium,0.225
1243,10,0.601,2.32,78.0,1.788,1.0,0.086,Low,0.095
1244,8,0.524,2.92,86.83,3.24,-0.062,0.332,Low,0.202
1245,9,0.778,0.83,57.27,1.977,-0.32,0.19,Low,0.355
1246,7,-0.011,1.64,81.04,0.128,-0.367,0.223,Low,0.297
1247,12,-0.48,0.11,88.61,-2.617,0.091,0.45,Medium,0.217
1248,9,-1.247,4.25,71.67,0.311,-0.302,0.3,High,0.474
1249,13,0.655,10.0,71.64,0.513,1.0,0.021,Low,0.156
1250,6,0.339,1.31,61.34,1.418,0.308,0.418,Low,0.237
1251,13,-0.773,0.03,95.9,2.708,0.686,0.268,Low,0.154
1252,15,-0.431,0.47,72.8,-0.19,0.051,0.257,Low,0.256
1253,4,-0.373,2.64,82.41,4.202,-0.37,0.313,Medium,0.348
1254,13,-1.186,2.37,86.04,-3.519,-0.455,0.116,Medium,0.439
1255,17,-0.654,3.88,95.12,0.839,-0.254,0.237,Medium,0.305
1256,7,-0.907,0.73,78.46,-1.597,0.374,0.153,Medium,0.254
1257,19,-0.33,3.61,74.61,-3.814,0.46,0.079,Low,0.203
1258,14,-0.591,2.91,81.73,-0.404,0.502,0.094,Low,0.202
1259,9,-1.302,0.97,92.84,-2.914,-0.544,0.15,Medium,0.45
1260,12,1.618,1.97,78.3,-0.323,0.2,0.079,Low,0.168
1261,14,1.002,0.4,70.45,0.07,-0.313,0.338,Low,0.318
1262,12,-0.623,1.51,64.59,2.237,0.401,0.228,Low,0.276
1263,14,0.218,5.33,67.79,-3.015,0.44,0.138,Low,0.205
1264,8,0.334,1.37,88.64,1.817,-0.386,0.054,Low,0.261
1265,13,0.953,4.57,76.79,0.196,0.684,0.116,Low,0.144
1266,6,-0.655,2.23,73.92,2.058,1.0,0.208,Low,0.193
1267,12,0.874,0.53,72.84,-0.864,0.617,0.254,Low,0.152
1268,8,-0.438,2.18,80.85,-2.664,0.119,0.172,Low,0.226
1269,9,-1.069,1.76,77.61,-2.435,0.042,0.066,Medium,0.307
1270,17,0.579,1.27,77.27,-2.584,0.095,0.218,Low,0.188
1271,16,1.033,0.32,93.49,0.956,-0.18,0.275,Low,0.195
1272,14,2.07,1.35,95.38,2.954,0.326,0.45,Low,0.123
1273,8,-0.96,0.19,63.9,-1.13,-0.369,0.337,Medium,0.466
1274,11,0.559,0.26,83.28,1.258,-0.745,0.264,Medium,0.396
1275,17,-0.328,1.34,72.23,-3.047,0.31,0.323,Low,0.231
1276,13,0.627,0.91,77.52,0.361,0.211,0.391,Low,0.188
1277,21,-1.176,6.49,83.09,1.337,-0.086,0.331,Medium,0.378
1278,14,-1.01,1.18,77.87,-2.896,-0.441,0.477,Medium,0.463
1279,13,-0.621,3.55,82.3,-0.408,0.345,0.103,Low,0.223
1280,11,0.063,1.89,86.73,1.432,-0.295,0.1,Low,0.247
1281,13,-0.513,3.04,82.95,-5.868,0.131,0.551,Medium,0.261
1282,11,0.527,0.75,73.53,2.671,1.0,0.303,Low,0.117
1283,15,0.822,7.11,73.71,0.707,0.526,0.39,Low,0.206
1284,16,0.48,1.89,65.6,1.433,-0.485,0.187,Medium,0.382
1285,9,1.295,4.45,71.46,-0.825,-0.437,0.133,Medium,0.359
1286,7,0.333,1.14,99.62,-3.445,0.276,0.458,Low,0.113
1287,5,-0.974,0.26,72.08,1.068,-0.488,0.089,Medium,0.457
1288,14,1.091,2.8,68.07,-0.165,-0.801,0.568,Medium,0.502
1289,8,-0.484,0.02,83.2,0.064,0.466,0.169,Low,0.178
1290,3,0.728,1.61,78.9,2.175,0.36,0.119,Low,0.152
1291,14,1.259,0.54,78.04,1.524,0.425,0.399,Low,0.164
1292,22,0.365,2.47,94.09,3.842,0.332,0.605,Low,0.145
1293,12,-1.197,9.71,85.49,0.308,0.167,0.141,Medium,0.335
1294,15,-0.735,1.56,74.7,-1.382,-0.131,0.093,Medium,0.322
1295,12,1.058,4.25,75.76,-0.377,0.458,0.22,Low,0.176
1296,12,-0.135,1.77,74.97,0.831,0.965,0.327,Low,0.139
1297,16,0.064,1.71,88.75,2.032,-0.051,0.244,Low,0.178
1298,11,0.607,6.66,76.92,-2.934,-0.31,0.462,Medium,0.341
1299,13,0.557,5.52,62.07,0.017,-0.368,0.272,Medium,0.387
1300,13,0.223,3.85,79.52,3.219,-0.233,0.495,Medium,0.295
1301,9,-0.167,0.88,64.63,-0.48,0.301,0.054,Low,0.216
1302,16,-0.25,1.97,100.0,1.862,-0.87,0.263,Medium,0.415
1303,11,0.686,0.63,70.34,0.986,0.42,0.116,Low,0.169
1304,9,0.443,1.47,78.38,1.912,0.522,0.377,Low,0.157
1305,14,-0.206,1.66,82.58,-1.62,-0.699,0.223,Medium,0.413
1306,8,0.866,4.45,77.11,-1.611,-0.29,0.347,Medium,0.312
1307,12,-0.103,5.66,77.1,0.041,0.24,0.075,Low,0.201
1308,12,-0.681,1.34,84.22,-3.064,0.128,0.252,Medium,0.244
1309,16,-0.607,0.04,95.26,-0.539,0.46,0.269,Low,0.159
1310,14,-0.783,4.95,87.68,0.506,0.129,0.181,Medium,0.259
1311,12,-0.218,0.48,94.79,3.569,0.832,0.204,Low,0.078
1312,15,0.987,2.43,69.53,0.805,0.039,0.343,Low,0.236
1313,18,-0.644,0.06,83.17,1.25,-0.292,0.499,Medium,0.353
1314,14,0.151,1.28,81.55,2.329,-0.332,0.485,Medium,0.302
1315,12,-0.525,10.0,83.51,-1.929,0.568,0.467,Medium,0.252
1316,7,-0.208,0.27,93.76,-0.33,0.215,0.084,Low,0.129
1317,8,-1.208,1.38,77.79,4.851,0.517,0.37,Medium,0.298
1318,11,-0.176,0.92,75.94,-0.158,0.507,0.388,Low,0.185
1319,10,-0.155,5.89,85.34,2.233,-0.81,0.13,Medium,0.448
1320,11,0.432,5.09,62.22,1.927,-0.37,0.287,Medium,0.386
1321,12,0.179,0.68,77.63,-2.956,-0.31,0.045,Low,0.272
1322,14,-0.959,0.21,78.66,0.621,-0.208,0.606,Medium,0.389
1323,12,0.867,2.47,70.8,0.293,-0.01,0.235,Low,0.231
1324,14,0.168,1.03,90.57,0.66,0.7,0.342,Low,0.093
1325,12,0.159,2.79,69.38,-1.508,0.799,0.299,Low,0.162
1326,4,-0.007,0.08,78.64,-2.234,0.054,0.259,Low,0.185
1327,8,-0.414,0.36,82.93,-0.952,0.074,0.176,Low,0.211
1328,11,0.174,2.9,93.53,-0.196,-0.153,0.288,Low,0.203
1329,7,0.38,0.6,79.89,2.37,0.245,0.073,Low,0.15
1330,14,-1.398,4.87,89.36,3.635,0.301,0.258,Medium,0.313
1331,18,-0.431,0.15,87.01,2.793,0.603,0.347,Low,0.16
1332,17,-0.204,0.61,81.23,1.72,0.599,0.738,Low,0.186
1333,11,0.205,10.0,69.1,-2.009,-0.951,0.144,Medium,0.552
1334,18,0.955,1.42,65.65,-0.818,0.124,0.24,Low,0.228
1335,13,-0.617,3.03,81.07,0.42,0.892,0.493,Low,0.202
1336,11,-0.398,0.5,74.57,-1.265,-0.019,0.234,Medium,0.255
1337,10,-0.41,2.35,89.19,1.154,0.77,0.197,Low,0.135
1338,11,-0.641,3.24,87.46,1.441,0.047,0.316,Medium,0.252
1339,10,-0.278,0.94,78.15,1.073,0.287,0.126,Low,0.19
1340,13,0.617,4.41,68.42,2.05,-0.368,0.513,Medium,0.378
1341,13,-0.843,2.31,85.11,-1.809,-0.35,0.579,Medium,0.406
1342,12,0.342,1.23,69.82,1.866,0.563,0.476,Low,0.188
1343,14,-1.362,2.04,72.42,-1.391,0.641,0.197,Medium,0.313
1344,17,-0.449,2.15,70.21,-1.882,0.213,0.367,Medium,0.27
1345,16,-0.264,0.45,78.61,1.064,-0.414,0.201,Medium,0.34
1346,6,1.34,1.29,91.7,2.432,0.222,0.289,Low,0.133
1347,2,-0.22,1.05,79.95,0.976,0.829,0.243,Low,0.135
1348,16,-1.761,1.28,75.57,0.042,1.0,0.125,Medium,0.304
1349,7,-1.599,3.58,64.74,0.62,0.042,0.147,Medium,0.429
1350,11,0.027,1.65,85.52,0.273,-0.63,0.13,Medium,0.352
1351,7,0.491,7.05,72.2,-2.252,0.62,0.165,Low,0.184
1352,5,0.3,0.87,81.18,-2.485,0.062,0.145,Low,0.17
1353,14,0.134,1.34,76.46,-0.158,0.672,0.55,Low,0.162
1354,15,0.93,3.87,88.38,0.16,0.341,0.272,Low,0.146
1355,10,-0.432,1.97,78.43,0.023,-0.242,0.144,Medium,0.314
1356,2,0.716,1.98,79.41,1.352,0.229,0.36,Low,0.183
1357,10,-1.306,0.14,84.86,-0.431,0.854,0.075,Medium,0.223
1358,14,-0.724,1.27,100.0,1.126,0.125,0.167,Medium,0.188
1359,6,-1.446,0.79,88.88,-0.289,-0.317,0.478,High,0.437
1360,13,-0.22,10.0,79.11,3.647,-0.594,0.22,Medium,0.444
1361,12,-0.037,0.92,80.03,0.161,-0.186,0.235,Low,0.247
1362,14,0.091,5.4,74.75,4.681,-0.005,0.161,Low,0.227
1363,12,0.05,2.82,70.5,0.704,0.61,0.411,Low,0.186
1364,8,-0.742,1.04,74.47,-0.427,-0.36,0.287,Medium,0.404
1365,17,-0.152,1.96,72.28,-1.799,0.977,0.438,Low,0.159
1366,11,-1.198,4.59,86.53,-2.886,-0.469,0.526,High,0.487
1367,12,1.091,5.37,69.29,-1.983,1.0,0.068,Low,0.14
1368,8,-0.243,0.44,93.33,-1.759,1.0,0.121,Low,0.063
1369,10,-0.391,1.04,87.52,0.79,0.271,0.318,Low,0.188
1370,8,1.271,1.02,80.21,-1.052,-0.624,0.082,Medium,0.361
1371,11,-0.994,0.11,80.0,0.374,0.172,0.314,Medium,0.287
1372,19,-0.9,2.28,74.43,2.564,0.007,0.328,Medium,0.325
1373,7,-0.877,4.82,82.7,-0.176,-0.437,0.112,Medium,0.423
1374,6,-0.054,1.2,90.88,4.158,0.346,0.296,Low,0.13
1375,18,0.345,3.37,72.97,-2.352,-0.212,0.41,Medium,0.302
1376,11,0.592,2.47,64.67,-0.301,-0.157,0.187,Low,0.291
